,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. John J. Zillmer', 'age': 67, 'title': 'CEO & Director', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 3824765, 'exercisedValue': 0, 'unexercisedValue': 1027218}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
1,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. Thomas G. Ondrof', 'age': 58, 'title': 'Exec. VP & CFO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1704518, 'exercisedValue': 0, 'unexercisedValue': 216256}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
2,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Ms. Lauren A. Harrington', 'age': 47, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1164073, 'exercisedValue': 0, 'unexercisedValue': 361583}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
3,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. Marc A. Bruno', 'age': 50, 'title': 'Chief Operating Officer of U.S. Food & Facilities', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1328067, 'exercisedValue': 0, 'unexercisedValue': 456204}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
4,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. Jack  Donovan', 'age': 64, 'title': 'Pres', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
5,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. Carl  Mittleman', 'title': 'Chief Operating Officer of International', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
6,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Mr. Christopher T. Schilling', 'age': 49, 'title': 'Sr. VP, Controller, Principal Accounting Officer & Chief Accounting Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
7,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Ms. Felise Glantz Kissell', 'title': 'Investor Relations & Corp. Affairs Exec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
8,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Ms. Debbie  Albert', 'title': 'Sr. VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
9,2400 Market Street,Philadelphia,PA,19103,United States,215 238 3000,https://www.aramark.com,Specialty Business Services,Specialty Business Services,Industrials,Industrials,"Aramark provides food, facilities, and uniform services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. It operates through three segments: Food and Support Services United States, Food and Support Services International, and Uniform and Career Apparel. The company offers food-related managed services, including dining, catering, food service management, and convenience-oriented retail services; non-clinical support services, such as patient food and nutrition, retail food, and procurement services; and plant operations and maintenance, custodial/housekeeping, energy management, grounds keeping, and capital project management services. It also provides on-site restaurants, catering, convenience stores, and executive dining services; beverage and vending services; and facility management services comprising landscaping, transportation, payment, and other facility consulting services relating to building operations. In addition, the company offers concessions, banquet, and catering services; retail services and merchandise sale, recreational, and lodging services; and facility management services at sports, entertainment, and recreational facilities. Further, the company offers correctional food; and operates commissaries, laundry facilities, and property rooms. Additionally, it provides design, sourcing and manufacturing, delivery, cleaning, maintenance, and marketing services for uniforms and accessories; provides managed restroom services; work clothing, outerwear, and item related services that include mats, towels, linens, and first aid supplies. The company was formerly known as ARAMARK Holdings Corporation. Aramark was founded in 1959 and is based in Philadelphia, Pennsylvania.",273875,"{'maxAge': 1, 'name': 'Ms. Danna  Vetter', 'title': 'Chief Marketer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,6,2,2,1693526400,1672444800,86400,2,37.33,36.95,36.28,37.03,37.33,36.95,36.28,37.03,0.44,0.012,1692057600,0.21149999,1.28,1.631051,17.615385,15.459916,3936301,3936301,3475014,2817120,2817120,36.61,36.62,1200,1200,9564871680,30.72,45.72,0.5214525,39.1902,39.1114,0.44,0.011786766,USD,17081552896,0.029679999,259731951,261050000,9750260,8979746,1690761600,1693440000,0.0373,0.00932,1.16773,1.98,0.0468,261050000,13.608,2.6925337,1664496000,1696032000,1688083200,7.393,544472000,2.08,2.37,0.66,0.931,13.239,-0.023974419,0.14113986,0.11,1692057600,NYQ,EQUITY,ARMK,ARMK,Aramark,Aramark,1386858600,America/New_York,EDT,3cd92ef1-652b-382d-aa68-e4899e818ce3,finmb_1004106,-14400000,36.64,50.0,38.0,45.93,47.0,2.1,buy,15,512214016,1.962,1290256000,8020721152,1.015,1.296,18342748160,225.337,70.605,0.03085,0.16766001,2489675000,213754752,566398976,7.239,0.151,0.14526,0.07034,0.04088,USD,
