,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Mr. Heikki  Malinen M.B.A., M.Sc., M.Sc. (Econ.), MBA', 'age': 60, 'title': 'Pres & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1965022, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
1,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Ms. Pia Alexandra Aaltonen-Forsell M.B.A., M.Soc.Sc.', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
2,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Mr. Stefan  Erdmann M.Sc.', 'age': 50, 'title': 'CTO & Group Sustainability Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
3,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Linda  Hakkila', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
4,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Mr. Matti  Louhija', 'title': 'Sr. VP of Corp. & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
5,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Ms. Anna-Maija  Heinonen', 'title': 'Head of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
6,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Paivi  Allenius', 'title': 'VP of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
7,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Mr. Johann  Steiner M.Sc., M.Sc. (Econ.)', 'age': 56, 'title': 'Chief HR Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
8,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Ms. Tamara  Weinert M.B.A., M.Sc.', 'age': 57, 'title': 'Pres of Bus. Area Americas', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
9,Salmisaarenranta 11,Helsinki,00180,Finland,358 9 4211,https://www.outokumpu.com,Steel & Iron,Basic Materials,"Outokumpu Oyj produces and sells various stainless steel products in Finland, other European countries, North America, the Asia-Pacific, and internationally. The company offers cold rolled coils, strips, and sheets; precision strips; hot rolled coils, strips, and plates; quarto plates; precise components, including welded stainless-steel I-beams, H-beams, hollow-section tubes, bent profiles, structural sections, press plates, roll shells, and blancs and disks; long products, which includes wire rods, wires, bars, rebars, billets, blooms, slabs, and ingots; and forged and rolled billets. Its products are used in various applications, including commercial kitchen, cooking, food industry, and home appliances; automotive and transportation; building and infrastructure; energy and marine; and heavy industries. The company was founded in 1910 and is headquartered in Helsinki, Finland.",8708,"{'maxAge': 1, 'name': 'Mr. Pekka  Pajamo M.Sc., M.Sc. (Econ.)', 'age': 60, 'title': 'Chief Financial Officer of Varma Mutual Pension Insurance Company', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,3,7,1,1693526400,1672444800,86400,4,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,1.451576,2.6842105,150,150,5248,4138,4138,0.0,0.0,1847056768,3.639,7.493,0.22660492,4.59754,5.324152,0.25,0.06127451,EUR,1759762176,0.085389994,356394536,452710016,0.19388,0.38257,9.547,0.42735937,1672444800,1703980800,1688083200,-0.769,704000000,1.52,0.216,2.17,GER,EQUITY,OUTA.DE,OUTA.DE,OUTOKUMPU OYJ A,Outokumpu Oyj,1411023600,Europe/Berlin,CEST,7200000,4.08,none,409000000,0.943,811000000,399000000,0.759,1.91,8151000064,9.635,18.363,0.04971,0.17417,1347000000,507750016,626000000,-0.756,-0.289,0.109069996,0.0995,0.06883,EUR,
