,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Lin Fong  Ngoo', 'age': 48, 'title': 'Deputy CEO, Fin. Director & Exec. Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
1,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Dr. Yucheng  Lin', 'age': 59, 'title': 'Exec. Chairman', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
2,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Li  Li', 'age': 56, 'title': 'Group Chief Exec. Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
3,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Poh Yeow  Lim FCCA', 'age': 52, 'title': 'Joint Company Sec. & CFO', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
4,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Mr. Haijun  Guo', 'title': 'Gen. Mang. of Sales & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
5,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Dr. Huaiguo  Yan', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
6,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Dr. Weiwei  Huang', 'title': 'Chief Scientist', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
7,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Ms. Weili  Sun', 'age': 59, 'title': 'Admin. & Human Resource Mang.', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
8,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Dr. Chenghong  Guo', 'title': 'Deputy Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
9,"No. 04-11, 41 Science Park Road",The Gemini,Singapore,117610,Singapore,65 6950 7700,https://www.leaderet.com,Pollution & Treatment Controls,Industrials,"Leader Environmental Technologies Limited, an investment holding company, engages in the research and development, design, manufacture, and installation of environmental protection systems in the People's Republic of China and Singapore. The company offers provision of engineering solution services in respect of sludge and water treatment; artificial intelligence technology in water management; sludge treatment services; and technical consulting and support services for environmental protection technologies and systems, as well as manufactures membrane products. It is also engages in soil treatments, controls, and maintenance services in environmental related business in respect of marine, oil, and gas industries; and municipal sludge treatment and management, industrial wastewater treatment and recycling, and other environmental related projects. The company was incorporated in 2006 and is headquartered in Singapore.","{'maxAge': 1, 'name': 'Ms. Foon Kuen  Lai', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.072,0.071,0.071,0.071,0.072,0.071,0.071,0.071,1337299200,0.0,-0.768393,1032500,1032500,2402888,729520,729520,0.071,0.073,110511352,0.049,0.101,1.5696075,0.08104,0.073675,0.0,0.0,SGD,140093248,-0.46667,812288326,1534880000,0.47906,0.0,0.064,1.1249999,1672444800,1703980800,1688083200,-32857000,-0.0,1.99,-4.055,SES,EQUITY,LS9.SI,LS9.SI,Leader Env,Leader Environmental Technologies Limited,1279242000,Asia/Singapore,SGT,28800000,0.072,none,72007000,0.047,-34549000,80175000,1.383,1.636,70407000,67.277,0.046,-0.09408,-0.28711,17743000,-2548500,-32938000,-0.783,0.115430005,-0.4907,-0.54674,CNY,
